"","﻿obs","time","elapsed","date","hhmmss","averaging","TIME","E","Emm","A","Ca","Ci","Pci","Pca","gsw","gbw","gtw","gtc","Rabs","TleafEB","TleafCnd","SVPleaf","RHcham","VPcham","SVPcham","VPDleaf","LatHFlux","SenHFlux","NetTherm","EBSum","Asty","Esty","Adyn","Crd","Csd","dCsd.dt","αVc","Edyn","Hr","Hs","dHs.dt","αVh","Leak","LeakPct","CorrFact","CorrFactPct","Fan","Qin","Qabs","alpha","convert","S","K","Geometry","Custom","UseDynamic","TIME.1","CO2_s","CO2_r","H2O_s","H2O_r","CO2_a","H2O_a","Flow","Pa","ΔPcham","Tair","Tleaf","Tleaf2","Offset","Offset2","Fan_speed","Qamb_in","Qamb_out","Q","f_red","f_blue","Tled","Pc","time.1","hhmmss.1","co2_t","h2o_t","count","co2_adj","h2o_adj","co2_match","h2o_match","co2_at","h2o_at","co2_cv","h2o_cv","A.MN","A.SLP","A.SD","A.OK","ΔCO2.MN","ΔCO2.SLP","ΔCO2.SD","ΔCO2.OK","ΔH2O.MN","ΔH2O.SLP","ΔH2O.SD","ΔH2O.OK","gsw.MN","gsw.SLP","gsw.SD","gsw.OK","Stable","Total","State","Vflow","VPchamber","abs_c_a","abs_c_b","abs_h_a","abs_h_b","Wc_s","Wc_r","Wco_s","Wco_r","Ww_s","Ww_r","Wwo_s","Wwo_r","Flow_s_v","Flow_r_v","Tleaf_mv","Tleaf2_mv","MatchValveR","MatchValveS","MatchCO2","MatchH2O","cf_co2_a","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_a","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","co2_elapsed","h2o_elapsed","CO2_f","CO2_f_s","Pump_f","Pump_f_s","Pump_p","Pump_p_s","Tboard","V_system","DIAG","Flow_s","Flow_r","Txchg","Tirga","Tchopper","Ts","Tr","CO2_.","Desiccant_.","Humidifier_.","Txchg_sp","CO2_r_sp","H2O_r_sp","SS_s","SS_r"
"80",80,1652752095,158.5,"20220517 09:48:14","9:48:14",2,1652752087,0.00214512,2.145119634,39.95927883,271.973625,204.1596639,20.81791275,27.73281993,0.159114874,3.253854519,0.154915258,0.097190123,305.3997425,27.72869772,25,3.735233018,67.65856617,2.365504576,3.496238111,1.369728442,-94.59977584,-197.7372513,-13.13662054,-0.073905141,31.07468969,2.121008313,5.426782196,306.8310196,291.0790182,1.705016083,89.12386144,2.145119634,21.95682012,23.213815,2.27e-05,105.3543778,0,0,1,0,53890.63706,1999.996667,1681.197454,0.840600128,0.152700126,3,0.5,"0: Broadleaf",2,TRUE,1652752087,271.973625,290.9645,23.19832083,21.95524167,273.5448333,23.610225,500.0014167,101.8688333,0.099951071,26.6014875,27.93819167,999.9,0,0,9991.037917,774.7715833,39.0453875,1999.996667,0.979998625,0.020001475,33,44861.13333,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.09327913,0.598150172,0.348604113,1,-19.00395366,-0.6576,0.220262664,0,1.237927073,0.107592125,0.010790934,0,0.156281453,0.016021231,0.001563702,1,2,4,"2月4日,2.91023",2.67287,0.0721852,0.0764017,0.112333,0.107066,25249.2,24575.2,26131.7,25643.7,36010,35867.6,41444.8,41232.1,1.99013,1.83985,0.0737384,0,100,100,-1.59,-0.4115,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.1,1282.2,0.821533,2.5415,1.60278,2.26196,1.50269,2.27417,36.1754,23.8511,19,531.499,502.771,25.0823,31.6026,29.9996,31.5458,31.5414,16.4479,31.1978,53.5741,25.0912,315.652,22,100.653,98.4764,NA
"81",81,1652752097,160.5,"20220517 09:48:16","9:48:16",2,1652752089,0.002150204,2.150203776,40.10982699,275.263125,206.6806723,21.07496421,28.06822933,0.15956267,3.254276988,0.155340254,0.097457719,305.3997219,27.72822347,25,3.735129541,67.66683848,2.365913999,3.496415751,1.369215542,-94.82398651,-197.5283983,-13.12106721,-0.073730162,31.19352164,2.128250634,5.550438843,310.3411992,294.4923394,1.707944278,89.12386144,2.150203776,21.95689203,23.21690647,1.49e-05,105.3543778,0,0,1,0,53902.02205,1999.996667,1681.19744,0.840600121,0.152700115,3,0.5,"0: Broadleaf",2,TRUE,1652752089,275.263125,294.3303333,23.20235,21.95505417,276.8389583,23.61417917,500.0105417,101.86875,0.099972942,26.60235,27.939925,999.9,0,0,9993.276667,774.7637083,39.04612917,1999.996667,0.97999875,0.020001346,33,44861.13333,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.11324429,1.483393475,0.37572566,0,-19.0192878,-1.16749338,0.240077232,0,1.239669024,0.115322718,0.011489581,0,0.156534244,0.017063459,0.001653746,1,1,4,"1月4日,2.91043",2.67297,0.0728753,0.077078,0.112343,0.107058,25230.6,24557.4,26131.9,25643.8,36009.8,35868.1,41445,41232.3,1.99028,1.83963,0.0745282,0,100,100,-1.594,-0.4115,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.2,1282.2,0.826416,2.54028,1.60278,2.26318,1.50269,2.28149,36.1754,23.8511,19,531.602,502.596,25.0971,31.6017,29.9997,31.5458,31.5404,16.5663,31.1978,53.5741,25.132,319.019,22,100.653,98.4769,NA
"82",82,1652752099,162.5,"20220517 09:48:18","9:48:18",2,1652752091,0.002159802,2.159802033,40.70770609,278.5535833,209.2016807,21.33199476,28.40370862,0.160366226,3.253908137,0.156101317,0.097937061,305.3996918,27.72739538,25,3.734948869,67.67350125,2.366330484,3.496686946,1.368618385,-95.24726965,-197.1297681,-13.09610386,-0.073449818,31.33478108,2.136134398,5.706006714,313.7746599,297.8866485,1.700256974,89.12386144,2.159802033,21.95472579,23.22038676,1.01e-05,105.3543778,0,0,1,0,53891.70352,1999.996667,1681.197389,0.840600095,0.1527001,3,0.5,"0: Broadleaf",2,TRUE,1652752091,278.5535833,297.7108333,23.20647083,21.954575,280.1339583,23.61821667,500.0165833,101.8685417,0.100021379,26.60366667,27.94332917,999.9,0,0,9991.349583,774.749375,39.04652083,1999.996667,0.979998875,0.020001196,33,44861.13333,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.15912531,3.195266883,0.429779851,0,-19.05137073,-2.106029268,0.274192039,0,1.24376,0.123923206,0.012349375,0,0.157129041,0.018208013,0.001764225,1,1,4,"1月4日,2.91037",2.67264,0.0735616,0.0777379,0.112353,0.107053,25212,24540,26132,25643.9,36009.7,35868.3,41445.4,41232.2,1.9904,1.83983,0.0753626,0,100,100,-1.598,-0.4114,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.2,1282.2,0.83374,2.53662,1.60278,2.26196,1.50269,2.30591,36.1754,23.8598,19,531.679,502.732,25.1132,31.6013,29.9997,31.5447,31.539,16.7032,31.1978,53.5741,25.132,322.41,22,100.654,98.4771,NA
"83",83,1652752101,164.5,"20220517 09:48:20","9:48:20",2,1652752093,0.002168554,2.168554109,40.7068898,281.8535833,211.7226891,21.58900794,28.74013775,0.161097598,3.253841125,0.156794174,0.098373429,305.399634,27.72679773,25,3.734818476,67.6792069,2.366731556,3.496984767,1.368086921,-95.63323621,-196.7672372,-13.07234396,-0.073183298,31.4460046,2.143954166,5.553407809,317.1514047,301.3078121,1.706982275,89.12386144,2.168554109,21.95211758,23.22290618,1.26e-05,105.3543778,0,0,1,0,53889.6084,1999.99625,1681.19719,0.840600171,0.152700103,3,0.5,"0: Broadleaf",2,TRUE,1652752093,281.8535833,301.0834583,23.21045833,21.9539625,283.4385833,23.62212083,500.0077083,101.8683333,0.099991533,26.6051125,27.94761667,999.9,0,0,9991.01625,774.7397083,39.04919167,1999.99625,0.979999125,0.020001042,33,44861.125,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.25898352,4.419544266,0.477998577,0,-19.1263175,-2.834799625,0.299552442,0,1.251491,0.139370432,0.013449786,0,0.158124769,0.019741365,0.001953059,1,1,4,"1月4日,2.91019",2.67292,0.0742461,0.078364,0.112362,0.107056,25193.6,24523.4,26132.1,25644,36009.5,35868.4,41445.5,41232.5,1.99025,1.84,0.0759661,0,100,100,-1.604,-0.4114,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.2,1282.3,0.841064,2.5354,1.60278,2.26196,1.50269,2.30225,36.1754,23.8598,19,531.563,502.858,25.131,31.5999,29.9997,31.5433,31.5386,16.8456,31.1978,53.5741,25.1651,325.787,22,100.655,98.4777,NA
"84",84,1652752103,166.5,"20220517 09:48:22","9:48:22",2,1652752095,0.002173884,2.173883994,40.29786066,285.1611667,214.2436975,21.84604989,29.07737846,0.161538088,3.253824028,0.157211417,0.098636217,305.3996021,27.72717424,25,3.734900621,67.68311891,2.36709551,3.497320378,1.367805111,-95.86828414,-196.5464624,-13.05787605,-0.073020522,31.50762254,2.15115433,5.482009212,320.3562741,304.6811576,1.689885537,89.12386144,2.173883994,21.95022116,23.22412382,1.32e-05,105.3543778,0,0,1,0,53888.84654,1999.99625,1681.197132,0.840600142,0.152700087,3,0.5,"0: Broadleaf",2,TRUE,1652752095,285.1611667,304.4334583,23.21405,21.95334167,286.7507083,23.62563333,500.00875,101.86825,0.099976583,26.60674167,27.9511125,999.9,0,0,9990.934167,774.7343333,39.05687083,1999.99625,0.97999925,0.020000888,33,44861.12917,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.31001491,3.943985394,0.459645248,0,-19.14354146,-2.330962369,0.285699253,0,1.253993659,0.137304669,0.013600312,0,0.158639022,0.019827702,0.001914176,1,1,4,"1月4日,2.91038",2.67328,0.0749144,0.0790121,0.112368,0.107062,25175.6,24506.2,26132.4,25644.1,36009.4,35868.4,41445.6,41232.7,1.99032,1.83978,0.0766516,0,100,100,-1.608,-0.4114,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.3,1282.3,0.848389,2.53662,1.60278,2.26196,1.50269,2.30835,36.1989,23.8598,19,531.612,502.691,25.1446,31.5985,29.9997,31.543,31.5386,16.9971,31.1978,53.5741,25.1651,329.139,22,100.655,98.4781,NA
"85",85,1652752105,168.5,"20220517 09:48:24","9:48:24",2,1652752097,0.002178044,2.178044247,39.72503072,288.4658333,216.7647059,22.1031557,29.41440676,0.161868369,3.253625053,0.157523986,0.098833105,305.3994971,27.72821797,25,3.735128343,67.68474374,2.367425996,3.497724694,1.367702347,-96.05175127,-196.373283,-13.04736438,-0.072901621,31.57401372,2.157685479,5.822831278,323.5720403,307.9678424,1.651474787,89.12386144,2.178044247,21.94997319,23.22634824,8.06e-06,105.3543778,0,0,1,0,53883.06221,1999.995833,1681.196687,0.840600095,0.152700067,3,0.5,"0: Broadleaf",2,TRUE,1652752097,288.4658333,307.78325,23.21724583,21.95272083,290.0599167,23.62875417,500.0114583,101.8684167,0.100008567,26.60870417,27.9544875,999.9,0,0,9989.8675,774.73325,39.05926667,1999.995833,0.979999375,0.020000713,33,44861.12917,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.36934305,2.423738054,0.404792596,0,-19.2132,-1.382640901,0.234675194,0,1.2594725,0.126483602,0.01235233,0,0.159255863,0.018208337,0.001821789,1,1,4,"1月4日,2.91048",2.67306,0.0755698,0.0797114,0.112376,0.107062,25157.9,24487.8,26132.5,25644.3,36009.1,35868.4,41445.8,41232.8,1.99048,1.83985,0.0776127,0,100,100,-1.612,-0.4113,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.3,1282.3,0.855713,2.5354,1.60278,2.26196,1.50269,2.31445,36.1989,23.8598,19,531.715,502.745,25.1599,31.5971,29.9998,31.543,31.5383,17.1311,31.1978,53.1989,25.1651,332.518,22,100.656,98.4784,NA
"86",86,1652752107,170.5,"20220517 09:48:26","9:48:26",2,1652752099,0.002182047,2.182046585,40.11888303,291.7672083,219.2857143,22.36028514,29.75113082,0.162174935,3.253931832,0.157814718,0.099016183,305.3992611,27.72952645,25,3.735413843,67.68382984,2.367722338,3.498209756,1.367691505,-96.22825438,-196.2083573,-13.03541588,-0.072766469,31.65039074,2.163649229,5.97081725,327.088417,311.303497,1.663834778,89.12386144,2.182046585,21.9508722,23.22961471,4.57e-06,105.3543778,0,0,1,0,53891.02484,1999.994583,1681.195527,0.84060004,0.152700044,3,0.5,"0: Broadleaf",2,TRUE,1652752099,291.7672083,311.1357083,23.22008333,21.95207083,293.3659167,23.63154167,500.013,101.8687083,0.100018671,26.61105833,27.9583125,999.9,0,0,9991.458333,774.7389583,39.05505417,1999.994583,0.9799995,0.020000529,33,44861.1125,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.46812455,1.629246438,0.341096736,0,-19.25801951,-1.193230662,0.215645617,0,1.261820488,0.1175423,0.011827328,0,0.159743148,0.016481694,0.001625564,1,1,4,"1月4日,2.91033",2.67293,0.0762371,0.0804134,0.112386,0.107062,25139.9,24469.3,26132.7,25644.4,36008.8,35868.8,41445.8,41233.2,1.99045,1.83987,0.0779703,0,100,100,-1.617,-0.4113,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.3,1282.4,0.861816,2.53906,1.60278,2.26196,1.50269,2.29858,36.1989,23.8598,19,531.689,502.751,25.1719,31.5957,29.9998,31.5419,31.537,17.2646,31.1978,53.1989,25.1838,335.919,22,100.656,98.4792,NA
"87",87,1652752109,172.5,"20220517 09:48:28","9:48:28",2,1652752101,0.002188379,2.188378872,39.91422345,295.0684167,221.8067227,22.61739543,30.08781239,0.162666724,3.254246312,0.158280819,0.099309718,305.3991517,27.73049212,25,3.735624559,67.68165843,2.368003773,3.498737809,1.367620786,-96.50750824,-195.9471686,-13.01703473,-0.072559823,31.73001523,2.169568248,5.891358377,330.7128755,314.7172545,1.699468693,89.12386144,2.188378872,21.95087808,23.23329765,7.13e-06,105.3543778,0,0,1,0,53899.15984,1999.994167,1681.195088,0.840599996,0.152700021,3,0.5,"0: Broadleaf",2,TRUE,1652752101,295.0684167,314.4899167,23.22279583,21.951325,296.671625,23.6342,500.01575,101.8689167,0.100018963,26.61362083,27.96273333,999.9,0,0,9993.098333,774.754875,39.0460625,1999.994167,0.979999667,0.020000317,33,44861.1125,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.61378855,1.461884827,0.315256819,0,-19.374675,-0.905166979,0.185371358,0,1.26704375,0.103150582,0.010174281,0,0.160303298,0.014249883,0.001452136,1,1,4,"1月4日,2.91033",2.67294,0.0769084,0.0810896,0.112398,0.107046,25121.8,24451.4,26132.8,25644.5,36008.6,35869.7,41446.1,41233.5,1.99048,1.8397,0.0773072,0,100,100,-1.621,-0.4112,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.4,1282.4,0.869141,2.53784,1.60278,2.26196,1.50269,2.29248,36.1989,23.8598,19,531.695,502.612,25.1805,31.5943,29.9998,31.5406,31.5358,17.4004,31.1978,53.1989,25.1838,339.307,22,100.656,98.4798,NA
"88",88,1652752111,174.5,"20220517 09:48:30","9:48:30",2,1652752103,0.00219239,2.192390195,39.88430552,298.3699583,224.3277311,22.87450473,30.42452661,0.162963813,3.254367842,0.158562266,0.099486976,305.3992584,27.73214346,25,3.735984914,67.67935132,2.368290946,3.499281391,1.367693967,-96.68440759,-195.781464,-13.00581971,-0.072432858,31.78530898,2.176562494,6.031007502,334.2563519,318.1273455,1.706052137,89.12386144,2.192390195,21.95160505,23.23632735,1.08e-05,105.3543778,0,0,1,0,53902.00946,1999.995,1681.195838,0.840600021,0.152700011,3,0.5,"0: Broadleaf",2,TRUE,1652752103,298.3699583,317.83,23.22556667,21.9500125,299.9776667,23.6369125,500.0204583,101.8690833,0.100051821,26.61625833,27.9662125,999.9,0,0,9993.72375,774.7677917,39.0446375,1999.995,0.979999917,0.020000104,33,44861.12917,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.71529162,1.325908663,0.305959411,0,-19.41749024,-1.022747038,0.194611468,0,1.26962,0.104828153,0.010593234,0,0.160780124,0.013605081,0.001351748,1,1,4,"1月4日,2.91035",2.67301,0.0775781,0.0817404,0.112403,0.107022,25103.7,24434.3,26132.9,25644.7,36008.7,35870.8,41446.4,41233.6,1.9905,1.83975,0.0768155,0,100,100,-1.625,-0.4112,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.4,1282.4,0.875244,2.53296,1.60278,2.26196,1.50269,2.2876,36.2224,23.8598,19,531.709,502.647,25.1894,31.5934,29.9997,31.5403,31.5356,17.538,31.1978,53.1989,25.1999,342.707,22,100.657,98.4803,NA
"89",89,1652752113,176.5,"20220517 09:48:32","9:48:32",2,1652752105,0.00219151,2.191510023,39.47737699,301.6702083,226.8487395,23.13160072,30.76109139,0.162847568,3.254593104,0.158452502,0.099417813,305.3992492,27.73508903,25,3.736627772,67.67526004,2.368540115,3.499861121,1.368087657,-96.64559203,-195.8183638,-13.00774491,-0.072451514,31.83341581,2.183656443,6.118617358,337.6414213,321.5193455,1.697723706,89.12386144,2.191510023,21.95161843,23.23579559,1.53e-05,105.3543778,0,0,1,0,53907.66229,1999.995,1681.195932,0.840600068,0.152700006,3,0.5,"0: Broadleaf",2,TRUE,1652752105,301.6702083,321.1648333,23.22797917,21.9482625,303.282375,23.639275,500.0172083,101.86925,0.100021546,26.61907083,27.9685,999.9,0,0,9994.897083,774.7775833,39.04986667,1999.995,0.980000167,0.019999917,33,44861.1375,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.80180628,1.648747766,0.325610453,0,-19.4817425,-1.239180113,0.208696102,0,1.27558675,0.111795535,0.011158791,0,0.161440559,0.0145048,0.001486018,1,1,4,"1月4日,2.91033",2.67282,0.0782431,0.0823953,0.112406,0.107009,25085.6,24417,26132.9,25644.9,36008.7,35871.4,41446.6,41233.7,1.99037,1.8398,0.0770167,0,100,100,-1.629,-0.4112,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.4,1282.5,0.882568,2.53906,1.60278,2.26074,1.50269,2.23755,36.2224,23.8511,19,531.62,502.672,25.1952,31.5922,29.9997,31.5399,31.5342,17.6752,31.1978,53.1989,25.1999,346.062,22,100.657,98.4807,NA
"90",90,1652752115,178.5,"20220517 09:48:34","9:48:34",2,1652752107,0.002204322,2.204322197,39.89802768,304.9707917,229.3697479,23.38865618,31.09763627,0.163855269,3.254770592,0.159406678,0.100018802,305.3993785,27.73499758,25,3.736607814,67.66965994,2.368760893,3.500477015,1.367846921,-97.2106089,-195.2887771,-12.9720458,-0.07205324,31.89128331,2.190468286,6.072843286,341.0406555,324.9262121,1.700500842,89.12386144,2.204322197,21.94498361,23.23675235,8.71e-06,105.3543778,0,0,1,0,53911.97504,1999.995833,1681.19677,0.840600136,0.152700007,3,0.5,"0: Broadleaf",2,TRUE,1652752107,304.9707917,324.506125,23.23015417,21.94642083,306.587375,23.64140417,500.0065,101.86925,0.09997825,26.62205833,27.97014583,999.9,0,0,9995.834583,774.7960417,39.0584625,1999.995833,0.980000417,0.019999754,33,44861.15,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.82187419,1.79776018,0.333877404,0,-19.4992175,-1.397508068,0.215906483,0,1.2777665,0.115480976,0.011551486,0,0.161651123,0.014589448,0.001464591,1,1,4,"1月4日,2.91041",2.67274,0.0789025,0.083064,0.11241,0.107003,25067.7,24399.4,26132.9,25645.1,36008.5,35871.9,41446.6,41234,1.99037,1.83965,0.0775009,0,100,100,-1.634,-0.4111,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.5,1282.5,0.888672,2.5354,1.60278,2.25952,1.50269,2.28882,36.2224,23.8511,19,531.608,502.551,25.2015,31.5904,29.9998,31.5385,31.5331,17.8105,31.1978,53.1989,25.1999,349.424,22,100.657,98.4813,NA
"91",91,1652752117,180.5,"20220517 09:48:36","9:48:36",2,1652752109,0.002218421,2.218420937,39.61659355,308.26725,231.8907563,23.64570905,31.43375708,0.164960007,3.25447314,0.160451715,0.100677112,305.3994795,27.73490065,25,3.736586656,67.66282885,2.368958914,3.501123076,1.367627741,-97.83236333,-194.7041619,-12.93459083,-0.071636564,32.01049232,2.197338057,6.350633242,344.5081885,328.3003697,1.689980485,89.12386144,2.218420937,21.9382919,23.23836029,1.89e-06,105.3543778,0,0,1,0,53903.28125,1999.996667,1681.197434,0.840600118,0.152699994,3,0.5,"0: Broadleaf",2,TRUE,1652752109,308.26725,327.8794167,23.23210833,21.94437083,309.8881667,23.64331667,500.014,101.8691667,0.100008083,26.62519167,27.97094167,999.9,0,0,9994.271667,774.8172917,39.06455417,1999.996667,0.980000542,0.019999613,33,44861.17083,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.91603436,2.89181692,0.384301589,0,-19.5610525,-2.161216886,0.25345238,0,1.2839,0.125988743,0.012541638,0,0.162545479,0.015765524,0.001617208,1,1,4,"1月4日,2.91031",2.6729,0.0795596,0.0837283,0.112412,0.106999,25050,24381.8,26133.1,25645.1,36008.7,35872.1,41446.8,41234,1.9904,1.83955,0.0778884,0,100,100,-1.638,-0.4111,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.5,1282.5,0.895996,2.53296,1.60278,2.25952,1.50269,2.30103,36.2224,23.8598,19,531.616,502.475,25.207,31.5888,29.9998,31.5375,31.5328,17.9449,31.1978,53.1989,25.226,352.781,22,100.658,98.4814,NA
"92",92,1652752119,182.5,"20220517 09:48:38","9:48:38",2,1652752111,0.002222109,2.222108933,40.29744553,311.5647917,234.4117647,23.90277035,31.76999957,0.165203893,3.25422075,0.160682118,0.100822278,305.3993877,27.7371134,25,3.73706964,67.65595515,2.369137404,3.501742601,1.367932236,-97.99500392,-194.5502163,-12.92570319,-0.07153573,32.18381813,2.204200025,6.374223058,348.0095898,331.7082,1.700875538,89.12386144,2.222108933,21.93568388,23.23787324,5.39e-06,105.3543778,0,0,1,0,53895.84411,1999.99625,1681.19704,0.840600096,0.15269998,3,0.5,"0: Broadleaf",2,TRUE,1652752111,311.5647917,331.2864167,23.2338625,21.94211667,313.1900833,23.6450375,500.0181667,101.869125,0.100033321,26.62819583,27.9719125,999.9,0,0,9992.942917,774.8407083,39.06250833,1999.99625,0.980000667,0.019999467,33,44861.16667,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,31.93519805,3.317892823,0.400477592,0,-19.5862175,-2.433056285,0.268018205,0,1.2857535,0.128676023,0.012760356,0,0.162728008,0.016116116,0.001612606,1,1,4,"1月4日,2.9102",2.67302,0.0802187,0.0843739,0.112413,0.106999,25032.2,24364.6,26133.2,25645.1,36008.9,35872.2,41447.1,41234.1,1.99037,1.83952,0.0785664,0,100,100,-1.642,-0.4111,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.5,1282.6,0.9021,2.5354,1.60278,2.25952,1.50391,2.27173,36.2459,23.8598,19,531.596,502.445,25.2143,31.5874,29.9998,31.5371,31.5315,18.0822,31.1978,53.1989,25.226,356.157,22,100.659,98.4815,NA
"93",93,1652752121,184.5,"20220517 09:48:40","9:48:40",2,1652752113,0.00222547,2.225469626,40.44233273,314.87525,236.9327731,24.15982218,32.10754659,0.165424315,3.254522163,0.160891051,0.100953855,305.3993633,27.73912677,25,3.737509149,67.64879913,2.36929203,3.502341595,1.368217119,-98.14321049,-194.4119377,-12.91563717,-0.071422087,32.31962517,2.210855753,6.353144725,351.4432158,335.1196061,1.705680311,89.12386144,2.225469626,21.93388195,23.23808706,2.6e-06,105.3543778,0,0,1,0,53903.55604,1999.99625,1681.19701,0.840600081,0.152699968,3,0.5,"0: Broadleaf",2,TRUE,1652752113,314.87525,334.6843333,23.23539167,21.939725,316.504875,23.6465375,500.0095417,101.8690833,0.100018988,26.6311,27.97212083,999.9,0,0,9994.53875,774.859375,39.06973333,1999.99625,0.980000792,0.019999329,33,44861.17083,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,32.00987977,4.150613671,0.441432971,0,-19.62008049,-2.615962369,0.281425893,0,1.287915854,0.128172544,0.01299683,0,0.163180525,0.01657423,0.001648259,1,1,4,"1月4日,2.91043",2.67308,0.0808731,0.0850183,0.112415,0.106994,25014.5,24347.4,26133.3,25645,36008.9,35872.6,41447.2,41234.3,1.99043,1.83963,0.0786856,0,100,100,-1.646,-0.4111,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.6,1282.6,0.909424,2.54028,1.60278,2.26074,1.50269,2.26074,36.2459,23.8511,19,531.618,502.509,25.2244,31.586,29.9997,31.5357,31.5303,18.2185,31.1978,52.8188,25.2441,359.508,22,100.659,98.4817,NA
"94",94,1652752123,186.5,"20220517 09:48:42","9:48:42",2,1652752115,0.002228052,2.228052492,40.76674547,318.19575,239.4537815,24.41686636,32.44610737,0.165572558,3.254668293,0.161031483,0.101042301,305.3994756,27.74146971,25,3.738020662,67.64038047,2.369415775,3.502960449,1.368604887,-98.25711491,-194.3053765,-12.90832284,-0.071338728,32.39810447,2.21736215,6.485682205,354.8375968,338.5075636,1.695419733,89.12386144,2.228052492,21.93305337,23.23879324,1.68e-07,105.3543778,0,0,1,0,53907.00754,1999.997083,1681.197718,0.840600085,0.15269996,3,0.5,"0: Broadleaf",2,TRUE,1652752115,318.19575,338.0575833,23.236625,21.93714583,319.829625,23.6477375,500.009125,101.869,0.100015525,26.6341,27.96998333,999.9,0,0,9995.31875,774.875,39.08202083,1999.997083,0.980000917,0.019999213,33,44861.19167,0,"--:--:--",1652675166,1652675164,0,0.036,0.001,-1.731,-0.382,400,25,0.24,0.12,32.18041734,3.683905451,0.408090986,0,-19.7611275,-2.102144465,0.224316004,0,1.29436625,0.120639287,0.012133093,0,0.163859955,0.015593738,0.001609993,1,1,4,"1月4日,2.91052",2.67312,0.0815205,0.0856603,0.112419,0.106991,24997,24330.3,26133.4,25645,36008.8,35872.7,41447.3,41234.3,1.99043,1.8396,0.07765,0,100,100,-1.651,-0.4111,-1.088955305,-0.002163358,1.6e-06,-5.16e-10,-0.394483942,-0.032078939,0.001740276,-1.75e-05,1,1783,2,34,1282.6,1282.6,0.916748,2.53174,1.60278,2.25952,1.50269,2.30225,36.2459,23.8598,19,531.609,502.483,25.2326,31.5846,29.9997,31.5348,31.5294,18.3567,31.1978,52.8188,25.2441,362.894,22,100.659,98.4816,NA
